Area,Task,Owner,Priority (P0/P1),Status (Backlog/Doing/Blocked/Done),Next step,Due date,Metric target,Notes
Marketing,"Definir promessa (1 frase) + 3 bullets por ICP",Marcos,P0,Backlog,"Escrever 3 versões e escolher 1",,Conversion rate,,
Marketing,"Criar 3 decks (Artista / Produtor-Manager / Escritório)",Marcos,P0,Backlog,"Gerar no GPT + ajustar + exportar no Gama",,Decks prontos,,
Marketing,"Criar 1-pager (PDF) para WhatsApp",Marcos,P0,Backlog,"Montar no Canva com CTA e preços",,PDF pronto,,
Marketing,"Criar Link da Bio (WhatsApp + Convite)",Marcos,P0,Backlog,"Escolher Linktree/Beacons/Carrd e publicar",,CTR,,
Marketing,"Montar calendário editorial 7 dias",Marcos,P0,Backlog,"10 ideias + 7 posts + CTA único",,7 posts,,
Marketing,"Configurar YouTube (playlists + descrição + padrão CTA)",Marcos,P1,Backlog,"Abrir YouTube Studio + ajustar",,2 playlists,,
Sales,"Definir oferta final e pricing (49/89/149 + promo 3 meses Starter)",Marcos,P0,Backlog,"Escrever tabela e regra de promo",,Fechamento,,
Sales,"Criar scripts (DM IG + WhatsApp + follow-up 48–72h)",Marcos,P0,Backlog,"Gerar 3 variações e travar 1",,Reply rate,,
Sales,"Criar pipeline simples (Google Sheets ou CSV local)",Marcos,P0,Backlog,"Criar colunas e status + rotina",,Leads/dia,,
Sales,"Rodar validação flash (48–72h) com lote de leads",Marcos,P0,Backlog,"200 DMs/dia + follow-up + registrar objeções",,Assinaturas/dia,,
Partnerships,"Parceria com escola (SmartistU): TaskMaster como plataforma de execução",Marcos,P1,Backlog,"Definir comissão e benefício do aluno + outreach",,Leads/mês,,
Ops,"Banco de Ideias (capturar e priorizar)",Assistente,P0,Doing,"Usar docs/ideas/IDEA_BANK.md",,N/A,,
Ops,"Rotina diária (brief do dia + update do dia anterior)",Assistente,P0,Doing,"Usar docs/ops/DAILY_COMMAND.md",,N/A,,
