Code,Type,Max Uses,Expires,Status,Notes
BETA-TEAM-ADMIN,Team,999,2026-10-22,Available,Unlimited use for internal team
BETA-TEAM-DEV,Team,999,2026-10-22,Available,Unlimited use for developers
BETA-VIP-2025,VIP,50,2026-04-20,Available,VIP multi-use code

BETA-2025-D812AB,Standard,1,2026-01-20,Available,Single-use beta code
BETA-2025-D145F1,Standard,1,2026-01-20,Available,Single-use beta code
BETA-2025-C7D9E9,Standard,1,2026-01-20,Available,Single-use beta code
BETA-2025-70CF65,Standard,1,2026-01-20,Available,Single-use beta code
BETA-2025-06A03F,Standard,1,2026-01-20,Available,Single-use beta code
BETA-2025-B1015C,Standard,1,2026-01-20,Available,Single-use beta code
BETA-2025-2450B6,Standard,1,2026-01-20,Available,Single-use beta code
BETA-2025-104428,Standard,1,2026-01-20,Available,Single-use beta code
BETA-2025-ABE02C,Standard,1,2026-01-20,Available,Single-use beta code
BETA-2025-6F9389,Standard,1,2026-01-20,Available,Single-use beta code
